group,concentration,cultivar,stem_volume,stem_nodes,length,bush,flowering_day,SPAD,T_N,PO,KO,CaO,MgO,fresh_weight,dry_weight,weight_difference,vase_life,petals,petal_size,L_1,a_1,b_1,L_6,a_6,b_6,L_9,a_9,b_9,L_11,a_11,b_11,L_14,a_14,b_14
NSV,0.1,KP,4.28,7,65,2,65,95.9,1.09,0.48,2.35,0.25,0.45,3.56,1.24,2.32,5,16,47.31,78.72,6.77,2.22,85.21,4.94,4.04,83.55,5.41,4.06,81.29,5.78,11.57,81.23,5.08,12.73
NSV,0.1,KP,4.3,8,70.5,2,64,126.7,1.06,0.47,2.38,0.32,0.54,3.17,1.07,2.1,5,12,53.97,76.24,5.18,3.44,74.78,8.33,8.79,85,4.17,4.29,78.28,6.9,13.06,79.36,6.29,14.07
NSV,0.1,KP,4.51,7,63.5,3,65,98.1,1.08,0.45,2.34,0.25,0.45,3.37,1.37,2,5,12,53.6,82.43,7.63,3.83,81.9,9.11,6.58,82.77,6.64,3.71,77.91,6.9,7.03,78.18,5.41,7.98
NSV,0.1,KP,3.84,7,57,3,65,117.2,1.08,0.48,2.34,0.25,0.45,3.61,1.54,2.07,10,14,47.27,82.1,7.85,4.08,83.64,6.31,7.72,82.51,4.24,3.95,74.84,5.54,14.63,74.96,4.16,15.54
NSV,0.1,KP,4.12,8,62,3,65,116.6,1.09,0.48,2.34,0.25,0.45,2.88,1.42,1.46,6,10,50.18,83.55,5.41,4.06,81.92,2.97,5.26,84.7,6.47,3.79,81.18,1.72,10.32,79.26,1.25,11.42
NSV,0.1,KP,4.59,9,63,3,65,108.2,1.08,0.48,2.34,0.25,0.45,3.38,1.53,1.85,5,13,55.02,85,4.17,4.29,83.76,4.38,10.47,82.4,6.31,3.82,77.87,4.68,12.27,79.48,3.85,13.53
NSV,0.3,KP,4.07,7,56,3,65,102.8,0.92,0.78,2.65,0.23,0.56,3.85,1.21,2.64,12,16,51.6,82.77,6.64,3.71,75.31,7.29,1.35,82.23,7.84,4.12,80.05,9.08,7.64,80.66,8.02,8.59
NSV,0.3,KP,4.03,8,61,4,63,129.6,0.95,0.75,2.66,0.29,0.68,3.82,1.44,2.38,8,13,53.11,66.81,3.95,3.01,83.01,2.57,4.79,83.91,6.4,9.11,85.87,1.09,13.96,86.5,0.8,14.57
NSV,0.3,KP,4.44,9,73,4,65,105.3,0.91,0.77,2.64,0.23,0.56,3.25,1.06,2.19,8,15,47.53,79.78,3.65,3.97,83.17,2.88,2.91,83.29,8.14,5.81,83.4,4.68,13.04,85.2,3.6,14.37
NSV,0.3,KP,4.14,8,57,3,65,129.2,0.91,0.77,2.64,0.23,0.56,3.04,1.16,1.88,8,11,48.61,85.47,4.95,3.87,85.13,3.31,4.57,79.32,2.5,8.98,85.98,3.42,9.47,86.82,2.87,10.56
NSV,0.3,KP,3.81,8,56.5,2,62,131.2,0.91,0.76,2.64,0.23,0.56,4.47,0.58,3.89,7,21,50.14,82.05,3.22,2.5,82.96,2.38,4.34,84.2,4.63,3.84,80.53,2.42,9.95,83.31,1.82,10.75
NSV,0.3,KP,4.02,7,48,2,62,102.6,0.91,0.77,2.64,0.23,0.56,3.91,1.63,2.28,7,12,54.84,76.49,3.89,3.93,80.15,3.21,2.83,83.55,3.72,2.97,84.72,4.37,10.39,85.8,3.62,11.58
